Year,CO2,Temperature
1880,236,-0.1247
1881,243,-0.0707
1882,256,-0.071
1883,272,-0.1481
1884,275,-0.2099
1885,277,-0.222
1886,281,-0.2101
1887,295,-0.2559
1888,327,-0.1541
1889,327,-0.1032
1890,356,-0.3233
1891,372,-0.2552
1892,374,-0.3079
1893,370,-0.3221
1894,383,-0.2828
1895,406,-0.2279
1896,419,-0.0971
1897,440,-0.1232
1898,465,-0.2578
1899,507,-0.1172
1900,534,-0.0704
1901,552,-0.1471
1902,566,-0.2535
1903,617,-0.3442
1904,624,-0.424
1905,663,-0.2967
1906,707,-0.2208
1907,784,-0.3767
1908,750,-0.4441
1909,785,-0.4332
1910,819,-0.3862
1911,836,-0.4367
1912,879,-0.3318
1913,943,-0.3205
1914,850,-0.1444
1915,838,-0.0747
1916,901,-0.2979
1917,955,-0.3193
1918,936,-0.2118
1919,806,-0.2082
1920,932,-0.2152
1921,803,-0.1517
1922,845,-0.2318
1923,970,-0.2161
1924,963,-0.251
1925,975,-0.1464
1926,983,-0.0618
1927,1062,-0.1506
1928,1065,-0.1749
1929,1145,-0.2982
1930,1053,-0.1016
1931,940,-0.0714
1932,847,-0.1214
1933,893,-0.2481
1934,973,-0.1075
1935,1027,-0.1445
1936,1130,-0.1173
1937,1209,-0.0204
1938,1142,-0.0318
1939,1192,-0.0157
1940,1299,0.0927
1941,1334,0.1974
1942,1342,0.1549
1943,1391,0.1598
1944,1383,0.2948
1945,1160,0.1754
1946,1238,-0.0013
1947,1392,-0.0455
1948,1469,-0.0471
1949,1419,-0.055
1950,1630,-0.1579
1951,1767,-0.0095
1952,1795,0.0288
1953,1841,0.0997
1954,1865,-0.1118
1955,2042,-0.1305
1956,2177,-0.1945
1957,2270,0.0538
1958,2330,0.1145
1959,2454,0.064
1960,2569,0.0252
1961,2580,0.0818
1962,2686,0.0924
1963,2833,0.11
1964,2995,-0.1461
1965,3130,-0.0752
1966,3288,-0.0204
1967,3393,-0.0112
1968,3566,-0.0282
1969,3780,0.0937
1970,4053,0.0383
1971,4208,-0.0775
1972,4376,0.028
1973,4614,0.1654
1974,4623,-0.0698
1975,4596,0.006
1976,4864,-0.0769
1977,5026,0.1996
1978,5087,0.1139
1979,5369,0.2288
1980,5315,0.2651
1981,5152,0.3024
1982,5113,0.1836
1983,5094,0.3429
1984,5280,0.151
1985,5439,0.1357
1986,5607,0.2308
1987,5752,0.371
1988,5965,0.377
1989,6097,0.2982
1990,6127,0.435
1991,6217,0.4079
1992,6164,0.2583
1993,6162,0.2857
1994,6266,0.342
1995,6398,0.4593
1996,6542,0.3225
1997,6651,0.5185
1998,6643,0.6335
1999,6610,0.4427
2000,6765,0.4255
2001,6927,0.5455
2002,6996,0.6018
2003,7416,0.6145
2004,7807,0.5806
2005,8093,0.6583
2006,8370,0.6139
2007,8566,0.6113
2008,8783,0.5415
2009,8740,0.6354
2010,9167,0.7008
